data	km
2025-01-01	159
2025-01-02	82
2025-01-03	108
2025-01-04	149
2025-01-05	118
2025-01-06	99
2025-01-07	67
2025-01-08	152
2025-01-09	84
2025-01-10	144
2025-01-11	16
2025-01-12	124
2025-01-13	65
2025-01-14	101
2025-01-15	19
2025-01-16	31
2025-01-17	109
2025-01-18	40
2025-01-19	70
2025-01-20	34
2025-01-21	111
2025-01-22	125
2025-01-23	76
2025-01-24	125
2025-01-25	23
2025-01-26	93
2025-01-27	111
2025-01-28	52
2025-01-29	65
2025-01-30	120
2025-01-31	113
2025-02-01	110
2025-02-02	135
2025-02-03	37
2025-02-04	113
2025-02-05	79
2025-02-06	94
2025-02-07	35
2025-02-08	54
2025-02-09	57
2025-02-10	147
2025-02-11	144
2025-02-12	50
2025-02-13	129
2025-02-14	71
2025-02-15	125
2025-02-16	97
2025-02-17	104
2025-02-18	108
2025-02-19	61
2025-02-20	35
2025-02-21	40
2025-02-22	23
2025-02-23	116
2025-02-24	77
2025-02-25	126
2025-02-26	123
2025-02-27	33
2025-02-28	34
2025-03-01	137
2025-03-02	39
2025-03-03	99
2025-03-04	65
2025-03-05	81
2025-03-06	42
2025-03-07	73
2025-03-08	95
2025-03-09	70
2025-03-10	18
2025-03-11	140
2025-03-12	35
2025-03-13	65
2025-03-14	225
2025-03-15	138
2025-03-16	64
2025-03-17	73
2025-03-18	109
2025-03-19	69
2025-03-20	21
2025-03-21	116
2025-03-22	47
2025-03-23	59
2025-03-24	85
2025-03-25	46
2025-03-26	41
2025-03-27	102
2025-03-28	129
2025-03-29	22
2025-03-30	25
2025-03-31	26
2025-04-01	84
2025-04-02	129
2025-04-03	18
2025-04-04	60
2025-04-05	25
2025-04-06	126
2025-04-07	35
2025-04-08	143
2025-04-09	89
2025-04-10	60
2025-04-11	52
2025-04-12	24
2025-04-13	80
2025-04-14	79
2025-04-15	115
2025-04-16	55
2025-04-17	124
2025-04-18	104
2025-04-19	20
2025-04-20	68
2025-04-21	25
2025-04-22	93
2025-04-23	49
2025-04-24	29
2025-04-25	59
2025-04-26	65
2025-04-27	25
2025-04-28	3
2025-04-29	58
2025-04-30	35
2025-05-01	146
2025-05-02	45
2025-05-03	127
2025-05-04	48
2025-05-05	128
2025-05-06	115
2025-05-07	103
2025-05-08	21
2025-05-09	150
2025-05-10	49
2025-05-11	20
2025-05-12	120
2025-05-13	39
2025-05-14	15
2025-05-15	118
2025-05-16	37
2025-05-17	107
2025-05-18	51
2025-05-19	76
2025-05-20	41
2025-05-21	149
2025-05-22	72
2025-05-23	83
2025-05-24	101
2025-05-25	43
2025-05-26	59
2025-05-27	81
2025-05-28	89
2025-05-29	43
2025-05-30	67
2025-05-31	122
2025-06-01	100
2025-06-02	145
2025-06-03	36
2025-06-04	75
2025-06-05	132
2025-06-06	51
2025-06-07	32
2025-06-08	130
2025-06-09	25
2025-06-10	60
2025-06-11	104
2025-06-12	118
2025-06-13	35
2025-06-14	96
2025-06-15	23
2025-06-16	109
2025-06-17	39
2025-06-18	136
2025-06-19	132
2025-06-20	92
2025-06-21	49
2025-06-22	146
2025-06-23	90
2025-06-24	74
2025-06-25	97
2025-06-26	148
2025-06-27	65
2025-06-28	62
2025-06-29	130
2025-06-30	39
2025-07-01	95
2025-07-02	100
2025-07-03	75
2025-07-04	27
2025-07-05	56
2025-07-06	141
2025-07-07	120
2025-07-08	95
2025-07-09	81
2025-07-10	30
2025-07-11	76
2025-07-12	67
2025-07-13	102
2025-07-14	67
2025-07-15	25
2025-07-16	69
2025-07-17	61
2025-07-18	99
2025-07-19	16
2025-07-20	102
2025-07-21	67
2025-07-22	51
2025-07-23	34
2025-07-24	108
2025-07-25	64
2025-07-26	53
2025-07-27	66
2025-07-28	109
2025-07-29	70
2025-07-30	29
2025-07-31	41
2025-08-01	41
2025-08-02	116
2025-08-03	128
2025-08-04	66
2025-08-05	129
2025-08-06	41
2025-08-07	51
2025-08-08	72
2025-08-09	30
2025-08-10	95
2025-08-11	104
2025-08-12	16
2025-08-13	34
2025-08-14	39
2025-08-15	133
2025-08-16	114
2025-08-17	37
2025-08-18	41
2025-08-19	147
2025-08-20	78
2025-08-21	106
2025-08-22	124
2025-08-23	97
2025-08-24	45
2025-08-25	132
2025-08-26	107
2025-08-27	54
2025-08-28	116
2025-08-29	99
2025-08-30	29
2025-08-31	72
2025-09-01	94
2025-09-02	97
2025-09-03	138
2025-09-04	60
2025-09-05	144
2025-09-06	49
2025-09-07	125
2025-09-08	40
2025-09-09	135
2025-09-10	86
2025-09-11	95
2025-09-12	42
2025-09-13	82
2025-09-14	26
2025-09-15	114
2025-09-16	49
2025-09-17	138
2025-09-18	47
2025-09-19	85
2025-09-20	50
2025-09-21	133
2025-09-22	128
2025-09-23	138
2025-09-24	25
2025-09-25	133
2025-09-26	110
2025-09-27	24
2025-09-28	65
2025-09-29	61
2025-09-30	45
2025-10-01	49
2025-10-02	57
2025-10-03	109
2025-10-04	106
2025-10-05	17
2025-10-06	99
2025-10-07	30
2025-10-08	33
2025-10-09	102
2025-10-10	175
2025-10-11	124
2025-10-12	121
2025-10-13	60
2025-10-14	55
2025-10-15	116
2025-10-16	123
2025-10-17	123
2025-10-18	145
2025-10-19	87
2025-10-20	117
2025-10-21	61
2025-10-22	94
2025-10-23	113
2025-10-24	144
2025-10-25	66
2025-10-26	69
2025-10-27	127
2025-10-28	112
2025-10-29	99
2025-10-30	60
2025-10-31	118
2025-11-01	55
2025-11-02	133
2025-11-03	110
2025-11-04	145
2025-11-05	125
2025-11-06	103
2025-11-07	143
2025-11-08	50
2025-11-09	105
2025-11-10	101
2025-11-11	114
2025-11-12	106
2025-11-13	79
2025-11-14	20
2025-11-15	27
2025-11-16	23
2025-11-17	106
2025-11-18	90
2025-11-19	119
2025-11-20	110
2025-11-21	23
2025-11-22	53
2025-11-23	89
2025-11-24	150
2025-11-25	44
2025-11-26	137
2025-11-27	49
2025-11-28	24
2025-11-29	36
2025-11-30	33
2025-12-01	81
2025-12-02	70
2025-12-03	48
2025-12-04	72
2025-12-05	121
2025-12-06	16
2025-12-07	94
2025-12-08	120
2025-12-09	49
2025-12-10	106
2025-12-11	128
2025-12-12	100
2025-12-13	78
2025-12-14	39
2025-12-15	125
2025-12-16	34
2025-12-17	129
2025-12-18	112
2025-12-19	78
2025-12-20	114
2025-12-21	122
2025-12-22	42
2025-12-23	149
2025-12-24	113
2025-12-25	133
2025-12-26	57
2025-12-27	27
2025-12-28	142
2025-12-29	24
2025-12-30	156
2025-12-31	141
